name,january,february,march,april,may,june,july,august,september,october,november,december
Chicago,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3
Chisinau,281.86,281.86,281.86,281.86,281.86,281.86,281.86,281.86,281.86,281.86,281.86,281.86
Christchurch,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59
Cincinnati,284.05,284.05,284.05,284.05,284.05,284.05,284.05,284.05,284.05,284.05,284.05,284.05
Cleveland,283.44,283.44,283.44,283.44,283.44,283.44,283.44,283.44,283.44,283.44,283.44,283.44
Cologne,279.88,279.88,279.88,279.88,279.88,279.88,279.88,279.88,279.88,279.88,279.88,279.88
Colorado Springs,281.56,281.56,281.56,281.56,281.56,281.56,281.56,281.56,281.56,281.56,281.56,281.56
Columbus,284.16,284.16,284.16,284.16,284.16,284.16,284.16,284.16,284.16,284.16,284.16,284.16
Copenhagen,278.65,278.65,278.65,278.65,278.65,278.65,278.65,278.65,278.65,278.65,278.65,278.65
Cork,277.72,277.72,277.72,277.72,277.72,277.72,277.72,277.72,277.72,277.72,277.72,277.72
Curitiba,289.58,289.58,289.58,289.58,289.58,289.58,289.58,289.58,289.58,289.58,289.58,289.58
Dallas,291.14,291.14,291.14,291.14,291.14,291.14,291.14,291.14,291.14,291.14,291.14,291.14
Dar es Salaam,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15
Delhi,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15,287.15
Denver,281.78,281.78,281.78,281.78,281.78,281.78,281.78,281.78,281.78,281.78,281.78,281.78
Des Moines,289.19,289.19,289.19,289.19,289.19,289.19,289.19,289.19,289.19,289.19,289.19,289.19
Detroit,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44
Doha,291.62,291.62,291.62,291.62,291.62,291.62,291.62,291.62,291.62,291.62,291.62,291.62
Dresden,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1,278.1
Dubai,292.68,292.68,292.68,292.68,292.68,292.68,292.68,292.68,292.68,292.68,292.68,292.68
Dublin,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64
Dusseldorf,280.21,280.21,280.21,280.21,280.21,280.21,280.21,280.21,280.21,280.21,280.21,280.21
Edinburgh,276.77,276.77,276.77,276.77,276.77,276.77,276.77,276.77,276.77,276.77,276.77,276.77
Edmonton,260.87,260.87,260.87,260.87,260.87,260.87,260.87,260.87,260.87,260.87,260.87,260.87
Eindhoven,280.04,280.04,280.04,280.04,280.04,280.04,280.04,280.04,280.04,280.04,280.04,280.04
Eugene,277.62,277.62,277.62,277.62,277.62,277.62,277.62,277.62,277.62,277.62,277.62,277.62
Florence,277.07,277.07,277.07,277.07,277.07,277.07,277.07,277.07,277.07,277.07,277.07,277.07
Florianopolis,294.49,294.49,294.49,294.49,294.49,294.49,294.49,294.49,294.49,294.49,294.49,294.49
Fort Collins,281.51,281.51,281.51,281.51,281.51,281.51,281.51,281.51,281.51,281.51,281.51,281.51
Frankfurt,280.52,280.52,280.52,280.52,280.52,280.52,280.52,280.52,280.52,280.52,280.52,280.52
Fukuoka,288.84,288.84,288.84,288.84,288.84,288.84,288.84,288.84,288.84,288.84,288.84,288.84
Galway,279.43,279.43,279.43,279.43,279.43,279.43,279.43,279.43,279.43,279.43,279.43,279.43
Gdansk,275.86,275.86,275.86,275.86,275.86,275.86,275.86,275.86,275.86,275.86,275.86,275.86
Geneva,286.13,286.13,286.13,286.13,286.13,286.13,286.13,286.13,286.13,286.13,286.13,286.13
Gibraltar,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7,284.7
Glasgow,276.87,276.87,276.87,276.87,276.87,276.87,276.87,276.87,276.87,276.87,276.87,276.87
Gothenburg,278.66,278.66,278.66,278.66,278.66,278.66,278.66,278.66,278.66,278.66,278.66,278.66
Grenoble,280.08,280.08,280.08,280.08,280.08,280.08,280.08,280.08,280.08,280.08,280.08,280.08
Guadalajara,295.15,295.15,295.15,295.15,295.15,295.15,295.15,295.15,295.15,295.15,295.15,295.15
Guatemala City,291.15,291.15,291.15,291.15,291.15,291.15,291.15,291.15,291.15,291.15,291.15,291.15
Halifax,272.1,272.1,272.1,272.1,272.1,272.1,272.1,272.1,272.1,272.1,272.1,272.1
Hamburg,280.81,280.81,280.81,280.81,280.81,280.81,280.81,280.81,280.81,280.81,280.81,280.81
Hannover,281.63,281.63,281.63,281.63,281.63,281.63,281.63,281.63,281.63,281.63,281.63,281.63
Havana,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15
Helsinki,276.21,276.21,276.21,276.21,276.21,276.21,276.21,276.21,276.21,276.21,276.21,276.21
Ho Chi Minh City,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
Hong Kong,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75
Honolulu,296.03,296.03,296.03,296.03,296.03,296.03,296.03,296.03,296.03,296.03,296.03,296.03
Houston,290.57,290.57,290.57,290.57,290.57,290.57,290.57,290.57,290.57,290.57,290.57,290.57
Hyderabad,295.91,295.91,295.91,295.91,295.91,295.91,295.91,295.91,295.91,295.91,295.91,295.91
Indianapolis,284.75,284.75,284.75,284.75,284.75,284.75,284.75,284.75,284.75,284.75,284.75,284.75
Innsbruck,274.74,274.74,274.74,274.74,274.74,274.74,274.74,274.74,274.74,274.74,274.74,274.74
Istanbul,284.51,284.51,284.51,284.51,284.51,284.51,284.51,284.51,284.51,284.51,284.51,284.51
Jacksonville,286.89,286.89,286.89,286.89,286.89,286.89,286.89,286.89,286.89,286.89,286.89,286.89
Jakarta,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85
Johannesburg,289.36,289.36,289.36,289.36,289.36,289.36,289.36,289.36,289.36,289.36,289.36,289.36
Kansas City,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15,288.15
Karlsruhe,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5
Kathmandu,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15,284.15
Kiev,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.2
Kingston,298.97,298.97,298.97,298.97,298.97,298.97,298.97,298.97,298.97,298.97,298.97,298.97
Knoxville,281.47,281.47,281.47,281.47,281.47,281.47,281.47,281.47,281.47,281.47,281.47,281.47
Krakow,271.96,271.96,271.96,271.96,271.96,271.96,271.96,271.96,271.96,271.96,271.96,271.96
Kuala Lumpur,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
Kyoto,288.32,288.32,288.32,288.32,288.32,288.32,288.32,288.32,288.32,288.32,288.32,288.32
Lagos,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15
La Paz,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15
Las Palmas de Gran Canaria,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06,291.06
Las Vegas,289.26,289.26,289.26,289.26,289.26,289.26,289.26,289.26,289.26,289.26,289.26,289.26
Lausanne,277.12,277.12,277.12,277.12,277.12,277.12,277.12,277.12,277.12,277.12,277.12,277.12
Leeds,278.03,278.03,278.03,278.03,278.03,278.03,278.03,278.03,278.03,278.03,278.03,278.03
Leipzig,279.44,279.44,279.44,279.44,279.44,279.44,279.44,279.44,279.44,279.44,279.44,279.44
Lille,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11,279.11
Lima,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
Lisbon,285.52,285.52,285.52,285.52,285.52,285.52,285.52,285.52,285.52,285.52,285.52,285.52
Liverpool,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1,279.1
Ljubljana,273.24,273.24,273.24,273.24,273.24,273.24,273.24,273.24,273.24,273.24,273.24,273.24
London,278.14,278.14,278.14,278.14,278.14,278.14,278.14,278.14,278.14,278.14,278.14,278.14
Los Angeles,286.34,286.34,286.34,286.34,286.34,286.34,286.34,286.34,286.34,286.34,286.34,286.34
Louisville,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64,284.64
Luxembourg,278.18,278.18,278.18,278.18,278.18,278.18,278.18,278.18,278.18,278.18,278.18,278.18
Lviv,275.87,275.87,275.87,275.87,275.87,275.87,275.87,275.87,275.87,275.87,275.87,275.87
Lyon,279.95,279.95,279.95,279.95,279.95,279.95,279.95,279.95,279.95,279.95,279.95,279.95
Madison,284.67,284.67,284.67,284.67,284.67,284.67,284.67,284.67,284.67,284.67,284.67,284.67
Madrid,282.98,282.98,282.98,282.98,282.98,282.98,282.98,282.98,282.98,282.98,282.98,282.98
Malaga,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65,289.65
Malmo,278.39,278.39,278.39,278.39,278.39,278.39,278.39,278.39,278.39,278.39,278.39,278.39
Managua,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15
Manchester,278.75,278.75,278.75,278.75,278.75,278.75,278.75,278.75,278.75,278.75,278.75,278.75
Manila,304.77,304.77,304.77,304.77,304.77,304.77,304.77,304.77,304.77,304.77,304.77,304.77
Marseille,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03
Medellin,288.81,288.81,288.81,288.81,288.81,288.81,288.81,288.81,288.81,288.81,288.81,288.81
Melbourne,291.88,291.88,291.88,291.88,291.88,291.88,291.88,291.88,291.88,291.88,291.88,291.88
Memphis,286.08,286.08,286.08,286.08,286.08,286.08,286.08,286.08,286.08,286.08,286.08,286.08
Mexico City,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5
Miami,293.92,293.92,293.92,293.92,293.92,293.92,293.92,293.92,293.92,293.92,293.92,293.92
Milan,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08,278.08
Milwaukee,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3
Minsk,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15
Montevideo,296.83,296.83,296.83,296.83,296.83,296.83,296.83,296.83,296.83,296.83,296.83,296.83
Montreal,275.12,275.12,275.12,275.12,275.12,275.12,275.12,275.12,275.12,275.12,275.12,275.12
Moscow,275.03,275.03,275.03,275.03,275.03,275.03,275.03,275.03,275.03,275.03,275.03,275.03
Mumbai,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15
Munich,276.46,276.46,276.46,276.46,276.46,276.46,276.46,276.46,276.46,276.46,276.46,276.46
Nairobi,290.34,290.34,290.34,290.34,290.34,290.34,290.34,290.34,290.34,290.34,290.34,290.34
Nantes,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34,280.34
Naples,279.94,279.94,279.94,279.94,279.94,279.94,279.94,279.94,279.94,279.94,279.94,279.94
Nashville,285.7,285.7,285.7,285.7,285.7,285.7,285.7,285.7,285.7,285.7,285.7,285.7
New Orleans,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9
New York,282.56,282.56,282.56,282.56,282.56,282.56,282.56,282.56,282.56,282.56,282.56,282.56
Nice,279.01,279.01,279.01,279.01,279.01,279.01,279.01,279.01,279.01,279.01,279.01,279.01
Nicosia,284.65,284.65,284.65,284.65,284.65,284.65,284.65,284.65,284.65,284.65,284.65,284.65
Oklahoma City,285.66,285.66,285.66,285.66,285.66,285.66,285.66,285.66,285.66,285.66,285.66,285.66
Omaha,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71
Orlando,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47
Osaka,288.03,288.03,288.03,288.03,288.03,288.03,288.03,288.03,288.03,288.03,288.03,288.03
Oslo,276.6,276.6,276.6,276.6,276.6,276.6,276.6,276.6,276.6,276.6,276.6,276.6
Ottawa,277.47,277.47,277.47,277.47,277.47,277.47,277.47,277.47,277.47,277.47,277.47,277.47
Oulu,276.48,276.48,276.48,276.48,276.48,276.48,276.48,276.48,276.48,276.48,276.48,276.48
Oxford,278.34,278.34,278.34,278.34,278.34,278.34,278.34,278.34,278.34,278.34,278.34,278.34
Palo Alto,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6
Panama,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29
Paris,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11
Perth,301.21,301.21,301.21,301.21,301.21,301.21,301.21,301.21,301.21,301.21,301.21,301.21
Philadelphia,280.91,280.91,280.91,280.91,280.91,280.91,280.91,280.91,280.91,280.91,280.91,280.91
Phnom Penh,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
Phoenix,292.14,292.14,292.14,292.14,292.14,292.14,292.14,292.14,292.14,292.14,292.14,292.14
Phuket,304.15,304.15,304.15,304.15,304.15,304.15,304.15,304.15,304.15,304.15,304.15,304.15
Pittsburgh,281.7,281.7,281.7,281.7,281.7,281.7,281.7,281.7,281.7,281.7,281.7,281.7
Porto,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.1,281.1
Porto Alegre,296.44,296.44,296.44,296.44,296.44,296.44,296.44,296.44,296.44,296.44,296.44,296.44
Prague,276.3,276.3,276.3,276.3,276.3,276.3,276.3,276.3,276.3,276.3,276.3,276.3
Providence,277.85,277.85,277.85,277.85,277.85,277.85,277.85,277.85,277.85,277.85,277.85,277.85
Quebec,273.68,273.68,273.68,273.68,273.68,273.68,273.68,273.68,273.68,273.68,273.68,273.68
Quito,284.72,284.72,284.72,284.72,284.72,284.72,284.72,284.72,284.72,284.72,284.72,284.72
Raleigh,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2
Reykjavik,267.66,267.66,267.66,267.66,267.66,267.66,267.66,267.66,267.66,267.66,267.66,267.66
Richmond,282.57,282.57,282.57,282.57,282.57,282.57,282.57,282.57,282.57,282.57,282.57,282.57
Riga,272.74,272.74,272.74,272.74,272.74,272.74,272.74,272.74,272.74,272.74,272.74,272.74
Rio De Janeiro,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94,297.94
Riyadh,286.15,286.15,286.15,286.15,286.15,286.15,286.15,286.15,286.15,286.15,286.15,286.15
Rochester,281,281,281,281,281,281,281,281,281,281,281,281
Rome,281.84,281.84,281.84,281.84,281.84,281.84,281.84,281.84,281.84,281.84,281.84,281.84
Rotterdam,280.23,280.23,280.23,280.23,280.23,280.23,280.23,280.23,280.23,280.23,280.23,280.23
Saint Petersburg,271.66,271.66,271.66,271.66,271.66,271.66,271.66,271.66,271.66,271.66,271.66,271.66
Salt Lake City,279.33,279.33,279.33,279.33,279.33,279.33,279.33,279.33,279.33,279.33,279.33,279.33
San Antonio,291.84,291.84,291.84,291.84,291.84,291.84,291.84,291.84,291.84,291.84,291.84,291.84
San Diego,286.02,286.02,286.02,286.02,286.02,286.02,286.02,286.02,286.02,286.02,286.02,286.02
San Jose,284.68,284.68,284.68,284.68,284.68,284.68,284.68,284.68,284.68,284.68,284.68,284.68
San Juan,301.66,301.66,301.66,301.66,301.66,301.66,301.66,301.66,301.66,301.66,301.66,301.66
San Luis Obispo,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6,284.6
San Salvador,298.77,298.77,298.77,298.77,298.77,298.77,298.77,298.77,298.77,298.77,298.77,298.77
Santiago,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15,296.15
Santo Domingo,294.91,294.91,294.91,294.91,294.91,294.91,294.91,294.91,294.91,294.91,294.91,294.91
Sao Paulo,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75,293.75
Sarajevo,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15
Saskatoon,256.15,256.15,256.15,256.15,256.15,256.15,256.15,256.15,256.15,256.15,256.15,256.15
Seattle,277.8,277.8,277.8,277.8,277.8,277.8,277.8,277.8,277.8,277.8,277.8,277.8
Seoul,285.46,285.46,285.46,285.46,285.46,285.46,285.46,285.46,285.46,285.46,285.46,285.46
Seville,283.52,283.52,283.52,283.52,283.52,283.52,283.52,283.52,283.52,283.52,283.52,283.52
Shanghai,286.29,286.29,286.29,286.29,286.29,286.29,286.29,286.29,286.29,286.29,286.29,286.29
Singapore,302.06,302.06,302.06,302.06,302.06,302.06,302.06,302.06,302.06,302.06,302.06,302.06
Skopje,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11,278.11
Sofia,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15,275.15
St. Louis,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28
Stockholm,278.95,278.95,278.95,278.95,278.95,278.95,278.95,278.95,278.95,278.95,278.95,278.95
Stuttgart,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58,278.58
Sydney,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25,294.25
Taipei,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6,297.6
Tallinn,274.53,274.53,274.53,274.53,274.53,274.53,274.53,274.53,274.53,274.53,274.53,274.53
Tampere,276.07,276.07,276.07,276.07,276.07,276.07,276.07,276.07,276.07,276.07,276.07,276.07
Tartu,273.53,273.53,273.53,273.53,273.53,273.53,273.53,273.53,273.53,273.53,273.53,273.53
Tashkent,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15,276.15
Tbilisi,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15,279.15
Tehran,278.19,278.19,278.19,278.19,278.19,278.19,278.19,278.19,278.19,278.19,278.19,278.19
Tel Aviv,288.62,288.62,288.62,288.62,288.62,288.62,288.62,288.62,288.62,288.62,288.62,288.62
The Hague,280.25,280.25,280.25,280.25,280.25,280.25,280.25,280.25,280.25,280.25,280.25,280.25
Thessaloniki,281.81,281.81,281.81,281.81,281.81,281.81,281.81,281.81,281.81,281.81,281.81,281.81
Tokyo,288.36,288.36,288.36,288.36,288.36,288.36,288.36,288.36,288.36,288.36,288.36,288.36
Toronto,281.57,281.57,281.57,281.57,281.57,281.57,281.57,281.57,281.57,281.57,281.57,281.57
Toulouse,281.43,281.43,281.43,281.43,281.43,281.43,281.43,281.43,281.43,281.43,281.43,281.43
Tunis,280.15,280.15,280.15,280.15,280.15,280.15,280.15,280.15,280.15,280.15,280.15,280.15
Turin,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77
Turku,277.45,277.45,277.45,277.45,277.45,277.45,277.45,277.45,277.45,277.45,277.45,277.45
Uppsala,278.96,278.96,278.96,278.96,278.96,278.96,278.96,278.96,278.96,278.96,278.96,278.96
Utrecht,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22,280.22
Valencia,283.75,283.75,283.75,283.75,283.75,283.75,283.75,283.75,283.75,283.75,283.75,283.75
Valletta,283.98,283.98,283.98,283.98,283.98,283.98,283.98,283.98,283.98,283.98,283.98,283.98
Vancouver,276.69,276.69,276.69,276.69,276.69,276.69,276.69,276.69,276.69,276.69,276.69,276.69
Victoria,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75,296.75
Vienna,272.81,272.81,272.81,272.81,272.81,272.81,272.81,272.81,272.81,272.81,272.81,272.81
Vilnius,276.54,276.54,276.54,276.54,276.54,276.54,276.54,276.54,276.54,276.54,276.54,276.54
Warsaw,274.9,274.9,274.9,274.9,274.9,274.9,274.9,274.9,274.9,274.9,274.9,274.9
Wellington,292.55,292.55,292.55,292.55,292.55,292.55,292.55,292.55,292.55,292.55,292.55,292.55
Winnipeg,262.13,262.13,262.13,262.13,262.13,262.13,262.13,262.13,262.13,262.13,262.13,262.13
Wroclaw,275.18,275.18,275.18,275.18,275.18,275.18,275.18,275.18,275.18,275.18,275.18,275.18
Yerevan,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15,277.15
Zagreb,272.48,272.48,272.48,272.48,272.48,272.48,272.48,272.48,272.48,272.48,272.48,272.48
Zurich,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55,278.55
